Currency,Rate_to_USD,Last_Updated
MGA,4173.613,"Sat, 07 Mar 2026 00:00:01 +0000"
MKD,53.0194,"Sat, 07 Mar 2026 00:00:01 +0000"
MMK,2099.792,"Sat, 07 Mar 2026 00:00:01 +0000"
MNT,3537.866,"Sat, 07 Mar 2026 00:00:01 +0000"
MOP,8.0555,"Sat, 07 Mar 2026 00:00:01 +0000"
MRU,40.0884,"Sat, 07 Mar 2026 00:00:01 +0000"
MUR,47.3359,"Sat, 07 Mar 2026 00:00:01 +0000"
MVR,15.452,"Sat, 07 Mar 2026 00:00:01 +0000"
MWK,1744.4777,"Sat, 07 Mar 2026 00:00:01 +0000"
MXN,17.7872,"Sat, 07 Mar 2026 00:00:01 +0000"
MYR,3.9444,"Sat, 07 Mar 2026 00:00:01 +0000"
MZN,63.5683,"Sat, 07 Mar 2026 00:00:01 +0000"
NAD,16.598,"Sat, 07 Mar 2026 00:00:01 +0000"
NGN,1386.7717,"Sat, 07 Mar 2026 00:00:01 +0000"
NIO,36.819,"Sat, 07 Mar 2026 00:00:01 +0000"
NOK,9.6222,"Sat, 07 Mar 2026 00:00:01 +0000"
NPR,147.0736,"Sat, 07 Mar 2026 00:00:01 +0000"
NZD,1.6962,"Sat, 07 Mar 2026 00:00:01 +0000"
OMR,0.3845,"Sat, 07 Mar 2026 00:00:01 +0000"
PAB,1.0,"Sat, 07 Mar 2026 00:00:01 +0000"
PEN,3.471,"Sat, 07 Mar 2026 00:00:01 +0000"
PGK,4.305,"Sat, 07 Mar 2026 00:00:01 +0000"
PHP,59.1488,"Sat, 07 Mar 2026 00:00:01 +0000"
PKR,279.565,"Sat, 07 Mar 2026 00:00:01 +0000"
PLN,3.6822,"Sat, 07 Mar 2026 00:00:01 +0000"
PYG,6515.5133,"Sat, 07 Mar 2026 00:00:01 +0000"
QAR,3.64,"Sat, 07 Mar 2026 00:00:01 +0000"
RON,4.3973,"Sat, 07 Mar 2026 00:00:01 +0000"
RSD,101.1698,"Sat, 07 Mar 2026 00:00:01 +0000"
RUB,78.8887,"Sat, 07 Mar 2026 00:00:01 +0000"
RWF,1461.9155,"Sat, 07 Mar 2026 00:00:01 +0000"
SAR,3.75,"Sat, 07 Mar 2026 00:00:01 +0000"
SBD,7.9479,"Sat, 07 Mar 2026 00:00:01 +0000"
SCR,13.7723,"Sat, 07 Mar 2026 00:00:01 +0000"
SDG,510.6747,"Sat, 07 Mar 2026 00:00:01 +0000"
SEK,9.2143,"Sat, 07 Mar 2026 00:00:01 +0000"
SGD,1.2791,"Sat, 07 Mar 2026 00:00:01 +0000"
SHP,0.7479,"Sat, 07 Mar 2026 00:00:01 +0000"
SLE,24.4351,"Sat, 07 Mar 2026 00:00:01 +0000"
SLL,24435.1481,"Sat, 07 Mar 2026 00:00:01 +0000"
SOS,570.6534,"Sat, 07 Mar 2026 00:00:01 +0000"
SRD,37.8276,"Sat, 07 Mar 2026 00:00:01 +0000"
SSP,4583.5343,"Sat, 07 Mar 2026 00:00:01 +0000"
STN,21.1256,"Sat, 07 Mar 2026 00:00:01 +0000"
SYP,114.0397,"Sat, 07 Mar 2026 00:00:01 +0000"
SZL,16.598,"Sat, 07 Mar 2026 00:00:01 +0000"
THB,31.8854,"Sat, 07 Mar 2026 00:00:01 +0000"
TJS,9.4766,"Sat, 07 Mar 2026 00:00:01 +0000"
TMT,3.5006,"Sat, 07 Mar 2026 00:00:01 +0000"
TND,2.9171,"Sat, 07 Mar 2026 00:00:01 +0000"
TOP,2.3746,"Sat, 07 Mar 2026 00:00:01 +0000"
TRY,44.089,"Sat, 07 Mar 2026 00:00:01 +0000"
TTD,6.752,"Sat, 07 Mar 2026 00:00:01 +0000"
TVD,1.4244,"Sat, 07 Mar 2026 00:00:01 +0000"
TWD,31.8646,"Sat, 07 Mar 2026 00:00:01 +0000"
TZS,2581.749,"Sat, 07 Mar 2026 00:00:01 +0000"
UAH,43.7867,"Sat, 07 Mar 2026 00:00:01 +0000"
UGX,3672.8402,"Sat, 07 Mar 2026 00:00:01 +0000"
